z,t
-13.060290379874944,0.0
-13.022342761027339,0.0001628398895263672
-12.974942144011179,0.0002689361572265625
-12.707435753307646,0.0004260540008544922
-12.413705804577933,0.0015530586242675781
-12.407980441939385,0.0016939640045166016
-11.843425409066034,0.0018279552459716797
-10.59591036154408,0.009604930877685547
-10.400019942151344,0.009666919708251953
-10.368241802506034,0.009723901748657227
-10.363678566914057,0.009851932525634766
-10.132441059550908,0.009912967681884766
-10.035100145261046,0.009964942932128906
-9.571106680509807,0.010025978088378906
-9.11041395336704,0.010087966918945312
-8.951306429051408,0.01349186897277832
-8.737190550762978,0.013551950454711914
-8.666068554036116,0.019006013870239258
-8.598981285208602,0.05272197723388672
-8.445578543100408,0.052780866622924805
-8.403673567411873,0.05283999443054199
-8.198304236787681,0.053009033203125
-8.120393356715624,0.053071022033691406
-8.024723064395845,0.053128957748413086
-7.92092958322177,0.05356597900390625
-7.028698735031341,0.0944828987121582
-6.994021409876937,0.12700796127319336
-6.815065293885424,0.12743091583251953
-6.519277645787926,0.12862300872802734
-6.4463579358187655,0.1291189193725586
-6.400198707279785,0.129957914352417
-6.2555830483946515,0.13422799110412598
-6.153823485135169,0.13434100151062012
-5.928395606288588,0.1473548412322998
-5.852465722606328,0.14740991592407227
-5.576539204992194,0.1476149559020996
-5.571170216535917,0.1476759910583496
-5.307530268374346,0.14773082733154297
-5.160696791603927,0.14800596237182617
-5.096892954370606,0.1482698917388916
-4.9866851807172,0.14905405044555664
-4.945054585092388,0.1493990421295166
-4.923794961585017,0.15267300605773926
-4.870826477892781,0.15280389785766602
-4.802042283087042,0.15294504165649414
-4.720549448047033,0.1534130573272705
-4.624686531439048,0.153472900390625
-4.4452956335764915,0.15589189529418945
-4.382399972727424,0.15594983100891113
-4.1276439909358125,0.15607404708862305
-3.933679982818642,0.15662789344787598
-3.931945784427668,0.15697693824768066
-3.8787264818116216,0.15724396705627441
-3.6273258105385873,0.15805888175964355
-3.5450678780837284,0.1582639217376709
-3.510284758644983,0.18001699447631836
-3.4480273624230833,0.18036603927612305
-3.430088147444178,0.18158483505249023
-3.4043409060798453,0.1816399097442627
-3.3219406167032064,0.1818530559539795
-3.206024085045625,0.1822059154510498
-3.204828161771327,0.1824948787689209
-3.1106852394256865,0.18279194831848145
-3.063878255116571,0.1860828399658203
-2.9904150561557206,0.1865990161895752
-2.951440570223591,0.18681788444519043
-2.9512330362929333,0.1876678466796875
-2.9139467538597725,0.18838882446289062
-2.9078388783139557,0.18934202194213867
-2.8037523945438565,0.19152283668518066
-2.7446110639735255,0.1927778720855713
-2.6711617699480645,0.19611597061157227
-2.6671168518994963,0.1978590488433838
-2.5677170600289783,0.19830584526062012
-2.4538922389749804,0.1989588737487793
-2.4501814612272446,0.19925785064697266
-2.398595905685838,0.20029282569885254
-2.391108320186629,0.20190095901489258
-2.360506378003624,0.202894926071167
-2.3107795978564742,0.20660901069641113
-2.270742554847703,0.2078559398651123
-2.2208397135910474,0.2090599536895752
-2.201098278563108,0.21317005157470703
-2.1558824225222897,0.2132408618927002
-2.1519671269269955,0.21569299697875977
-2.0715766670109748,0.21826982498168945
-2.03648334515987,0.22002387046813965
-1.9579791711644905,0.2216629981994629
-1.9255233506201355,0.225877046585083
-1.8851763984128211,0.22997498512268066
-1.8763249966016027,0.2323288917541504
-1.7664855872492329,0.23854589462280273
-1.7647948185028701,0.2487189769744873
-1.723672164137053,0.2713639736175537
-1.7027706971078453,0.2714200019836426
-1.6912568993053523,0.2766728401184082
-1.6870113333903491,0.2770988941192627
-1.640498826714404,0.27778196334838867
-1.6403028354286067,0.27979493141174316
-1.6368520134578461,0.28038787841796875
-1.5893917662810864,0.280627965927124
-1.5478969021260385,0.2851560115814209
-1.5344905577903878,0.29783105850219727
-1.5344020329135248,0.34000205993652344
-1.4509209743496672,0.3403639793395996
-1.4362793989280092,0.3745598793029785
-1.4026472350610262,0.37781596183776855
-1.3502658122056534,0.38570189476013184
-1.3371251853583577,0.3895258903503418
-1.3271903660987665,0.3984668254852295
-1.2984703481999602,0.4125199317932129
-1.298242273789934,0.4559638500213623
-1.2941281604540975,0.5549349784851074
-1.24420457864076,0.6250369548797607
-1.212319155119251,0.6466059684753418
